id,category,Top 1,Top 2,Top 3,Top 4,Top 5
8870b0d384138a81cfdc91f98d1dde9b,Shoes,6cf6056af5407b43863e3646ce6a1b86,ad0ec1a7aabe287d24ed670a79201980,1ba66c711b8d16304edccaca506c3f05,2478bb919214e1c9380f4eb3bd4e570d,a159f934e91720a62be3b472f167c507
70d392390fa258ba9b5d6b83ea29857e,Shoes,e106ab92207219f8456b61949fcb97d6,cb41a612c683dcd0c0ead29a7cc27760,1bea0305c2b7f821638273d57276c172,243c57e1c005a3253f58bc4ec68de0e2,54ece135f1ae53e7b4daabe2abf250fd
bfeab05381703b6b29365f7d1c1e8181,Shoes,4b2aac4c1801ef757b0ee220efc65a62,3dedf1357acee3be3477038287e93306,bb3428f1f2c7f35d9f6591835461c032,d7304630e33d59af58a8917eadd9894a,dacc02acf3251dcbc2c769710865d28b
affb0234f39c54df9f490be0ed6e9ffa,Shoes,f64d2fb250c845d65248cca9a36e125e,7b41499c1456675c373c72b65cd20b92,01e6c352deedf20fb6ea630335ba48af,7e4a3cbc84e4bc8ac8fa7bc03af72ba3,c20a7d071f5a73bdd92d647db4a44f36
46179a069d2546692bb5c31201a9c7ff,Shoes,298a356e69c76c29470e8d1ea8f4d388,8564d66ddebd3d800e3f091985e5904a,fd7622db574e3cdea61dce8466d00409,7d2f4817f76013e45e66a43c3b389022,254092bfdb438b8db2f9d026c7bbf7fe
96f55744b378bea6ee93a080d0eb4be8,Shoes,7fc70b0707d7b2166fbbd1eb9ac31979,d2739d8aee0d619c034711e978e336f8,d7304630e33d59af58a8917eadd9894a,cd15bdbe63543ce08659dcb8b387464c,dc33972a04b28042af615ebf147ee152
35ebb5413f333d52f4829dd0ebf3d329,Shoes,32a9942795ee05dff06a1e3a5bafccb1,a7ac00cfedc09a6f5d105d5b8cd64c05,16adb3bf449ed20d4ce3d326edbf1c4d,2447ec3d9e32a5390c7beaa6d67e8649,d1fc330ff37f6596c2646b598ba7203b
f33936f991de507a12c23e9b3b72c520,Shoes,5570cfffb88178742a8a8f38e1f44295,58e2dd8a76871fa6b7d9e069bf6d4bbd,294fedce957ceba6cf64ed6e7e4136f6,cc5cd3193916652d828829cad4862df8,5dabc51c46989d9f8e95d7afe2b9103d
baf8c06dadcdc91b0e0aa17ca9cc1c42,Shoes,9137115f718f5b0005e1dc2ea5c4a585,708aed177c1018e081f5769f8a069f9b,972843e5650372515f5bbbf5a12997bc,002157d06f7af87a6fb8cf1cc8f06401,f0281fa095cbd987f675e1cad7949b0a
bb4b072d2857972c2a87ce8252168265,Shoes,f8494f92964718ed5fc763ddbdb9b7ad,1da530f0619a2bdb91488197b3acc209,e96d970aa90da80e3642e8d8b4424f88,78b3fac3b73fec34d92d9d57b96db926,c1d06977ff3d353678a9b01e962b64a4
95c457c69f728f267fb2b5fab89282cf,Shoes,9af54f574b220d37d1dec5556abd1e8e,76dc1c7ca64289f48602e03d28b67674,5e93e69f8f5b5b1ddedfee7e4d091e43,7025d2dbf6b9de7bd72f3b860614d056,c39ffc8cb6db2cf700276e4db07d4f8a
96a08b24ea493f5bcb4ff81b8eee65b4,Shoes,80800c3034ff5581ded16c9a0a2d6c7b,1aedd9ff0b40a1836beb946d32cf034d,6cb8acb02d6173385c34ebe79e96843b,2c1acd9c8afda91d156e438e75e05ea6,2e80e6686a6d0c8c5240e2dc9da95f60
